epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,770.902,0.43727,1.48901,0.38917,0.94444,0.99881,0.64706,0.87837,0.76784,0.30743,0.27451,0.16439,0.05474,0.70177,4.11601,0.90205,1.15414,0.0008053,0.0008053,0.0008053
61,783.477,0.40595,1.49115,0.34783,0.90736,0.94276,0.96887,0.98604,0.902,0.61169,0.45098,0.35699,0.18257,0.43752,1.65062,0.47376,0.92293,0.000802,0.000802,0.000802
62,796.061,0.45265,1.43169,0.38604,0.92618,0.78181,0.91338,0.90068,0.78998,0.29884,0.21569,0.09509,0.03331,0.45667,1.91777,0.71739,0.93922,0.0007987,0.0007987,0.0007987
63,808.526,0.44626,1.62098,0.39588,0.93176,0.92224,0.93021,0.959,0.85925,0.36794,0.26471,0.13449,0.03006,0.50368,2.52203,0.57074,0.99103,0.0007954,0.0007954,0.0007954
64,821.051,0.44543,1.52706,0.36084,0.93587,0.9004,0.90196,0.95274,0.82337,0.65643,0.39216,0.34665,0.12319,0.53205,3.14361,0.62111,1.00417,0.0007921,0.0007921,0.0007921
65,833.561,0.43121,1.49755,0.36932,0.93006,0.92778,0.89216,0.97399,0.87473,0.62169,0.37255,0.34418,0.16782,0.48717,1.61388,0.63845,0.99676,0.0007888,0.0007888,0.0007888
66,846.152,0.41771,1.39343,0.34779,0.92424,0.92778,0.89216,0.97399,0.87473,0.62169,0.37255,0.34418,0.16782,4.25487,12.3301,7.0405,4.69574,0.0007855,0.0007855,0.0007855
67,858.671,0.43287,1.43547,0.3728,0.91301,0.92778,0.89216,0.97399,0.87473,0.62169,0.37255,0.34418,0.16782,4.11557,17.9625,7.7204,5.06322,0.0007822,0.0007822,0.0007822
68,871.464,0.43262,1.56644,0.37675,0.91997,0.91469,0.96078,0.9807,0.87098,0.51116,0.5,0.34835,0.09042,0.48606,3.48118,0.55409,0.94343,0.0007789,0.0007789,0.0007789
69,884.144,0.4513,1.43834,0.35973,0.93156,0.95629,0.85793,0.96316,0.84331,0.43851,0.34314,0.2326,0.05839,0.48352,3.86977,0.7603,0.94706,0.0007756,0.0007756,0.0007756
70,896.626,0.4429,1.5122,0.37484,0.92563,0.97979,0.93137,0.991,0.91406,0.58203,0.57843,0.45261,0.28458,0.4021,1.79913,0.43993,0.90127,0.0007723,0.0007723,0.0007723
71,909.108,0.39226,1.46391,0.3394,0.89884,0.92555,0.9751,0.9851,0.89779,0.58748,0.46078,0.35936,0.29083,0.40887,2.17073,0.50561,0.91335,0.000769,0.000769,0.000769
72,921.566,0.40995,1.44173,0.34986,0.92248,0.01929,0.18627,0.01691,0.00451,0,0,0,0,3.84961,14.1553,4.95144,3.63776,0.0007657,0.0007657,0.0007657
73,934.144,0.4229,1.55131,0.36454,0.92928,0.92227,0.95098,0.98631,0.88888,0.22458,0.17647,0.0581,0.01013,0.44614,4.57147,0.49364,0.945,0.0007624,0.0007624,0.0007624
74,946.783,0.38391,1.45028,0.34175,0.90775,0.89739,0.85748,0.94336,0.83097,0.19815,0.11765,0.03461,0.00833,0.58556,5.17216,0.80154,1.04228,0.0007591,0.0007591,0.0007591
75,959.39,0.41033,1.52592,0.35589,0.91473,0.89739,0.85748,0.94336,0.83097,0.19815,0.11765,0.03461,0.00833,3.5446,21.6352,7.67605,4.9841,0.0007558,0.0007558,0.0007558
76,971.869,0.41174,1.57515,0.36434,0.92572,0.9166,0.96977,0.97811,0.89716,0.63856,0.44118,0.34956,0.15619,0.38646,1.71169,0.4685,0.88263,0.0007525,0.0007525,0.0007525
77,984.409,0.42904,1.56897,0.39206,0.92894,0.09821,0.2451,0.05914,0.01667,0.0009,0.0098,0.00045,9e-05,3.16964,7.38535,4.57188,3.12854,0.0007492,0.0007492,0.0007492
78,997.008,0.42021,1.52478,0.37148,0.92249,0.87682,0.93137,0.95263,0.86268,0.17992,0.10784,0.03311,0.0094,0.43675,4.98362,0.53666,0.9144,0.0007459,0.0007459,0.0007459
79,1009.49,0.42989,1.49399,0.35694,0.93533,0.96016,0.98039,0.98948,0.88995,0.66976,0.48039,0.4425,0.24471,0.42992,1.47987,0.45713,0.9029,0.0007426,0.0007426,0.0007426
80,1021.98,0.41177,1.46077,0.34448,0.92088,0.95569,0.95098,0.98225,0.8798,0.68663,0.45098,0.41641,0.2216,0.44629,1.60848,0.48396,0.92486,0.0007393,0.0007393,0.0007393
81,1034.57,0.41507,1.51254,0.3529,0.91787,0.9157,0.95851,0.98632,0.86833,0.70295,0.44118,0.40038,0.18164,0.47989,1.56484,0.51949,0.98265,0.000736,0.000736,0.000736
82,1047.14,0.40703,1.42688,0.33378,0.92444,0.89168,0.96845,0.97847,0.86719,0.57393,0.39216,0.3134,0.08318,0.51137,3.61649,0.54622,1.01753,0.0007327,0.0007327,0.0007327
